Image: 752.jpg
274, 117, 469, 634, 0
158, 132, 317, 638, 0
79, 116, 197, 634, 0
8, 163, 98, 634, 0
402, 140, 440, 262, 2
429, 431, 535, 621, 2
395, 135, 446, 253, 2
450, 142, 474, 187, 2
427, 182, 482, 290, 2
572, 121, 625, 303, 2
61, 90, 118, 152, 3
39, 70, 77, 128, 3
160, 72, 215, 149, 3
540, 47, 636, 445, 0
595, 47, 637, 237, 3
4, 78, 52, 161, 3
244, 51, 287, 102, 3
276, 62, 320, 120, 3
255, 94, 312, 200, 3
315, 62, 365, 112, 3
308, 88, 366, 147, 3
369, 72, 420, 139, 3
405, 66, 451, 101, 3
416, 81, 466, 146, 3
